Relation|RowGroup|uncompressed|compressed|c3_compressed|compression_ratio_improvement|compute_ecr_counter|add_to_graph_counter|final_scheme_counter
Arade_1|0|4161998|1170624|1165378|1.0045|52|1|1
Bimbo_1|0|3670016|319324|271263|1.17717|592|17|3
CityMaxCapita_1|0|26049426|11018728|10681304|1.03159|1353|138|7
CMSprovider_1|0|16717728|3729276|3423156|1.08943|1163|172|12
CommonGovernment_1|0|62829650|8193179|6978756|1.17402|6987|616|28
Corporations_1|0|11901857|5105751|3326815|1.53473|918|230|9
Eixo_1|0|60077487|5892367|4662446|1.26379|15388|2079|37
Euro2016_1|0|11418716|5779460|5244416|1.10202|119|44|2
Food_1|0|2758131|515805|514149|1.00322|70|2|2
Generico_1|0|42738694|2805958|1848755|1.51776|5804|402|19
HashTags_1|0|92542033|34753667|23946618|1.4513|20015|889|26
Hatred_1|0|26027696|11533096|11343378|1.01673|1178|97|8
IGlocations1_1|0|6321918|1779851|1766945|1.0073|660|6|2
Medicare1_1|0|12973420|3996314|3263007|1.22473|894|61|6
MedPayment1_1|0|16768400|4681724|4551765|1.02855|1191|106|11
MLB_1|0|18994088|2380651|2238218|1.06364|8256|134|19
Motos_1|0|42974217|2829428|1920014|1.47365|6090|482|20
MulheresMil_1|0|62416953|5964864|4644978|1.28415|15881|1714|36
NYC_1|0|36490617|3139541|1870430|1.67851|5382|913|24
PanCreactomy1_1|0|18360922|4037727|3722318|1.08473|1555|220|12
Physicians_1|0|16768116|4686462|4563785|1.02688|1191|121|10
Provider_1|0|16202756|4588180|4490443|1.02177|1221|92|11
RealEstate1_1|0|17820728|4838606|4519954|1.0705|1330|169|9
Redfin1_1|0|22150976|9242876|9011962|1.02562|1398|61|11
Rentabilidad_1|0|70851322|16198993|15054500|1.07602|21693|1014|27
Romance_1|0|21518242|9890585|9866289|1.00246|35|3|2
SalariesFrance_1|0|48707783|9310155|8462124|1.10021|3588|226|14
TableroSistemaPenal_1|0|23289522|802109|333382|2.40598|2252|142|13
Taxpayer_1|0|16195222|4592886|4530538|1.01376|1222|89|11
Telco_1|0|92222061|23897338|22500280|1.06209|54777|5638|62
TrainsUK1_2|0|22067864|3440367|2928764|1.17468|1629|96|11
TrainsUK2_1|0|18144855|3140981|2473057|1.27008|2406|262|13
Uberlandia_1|0|61320125|5959002|4537301|1.31334|15592|2180|41
USCensus_1|0|137735464|8738400|8176181|1.06876|533880|2331|38
Wins_1|0|88869327|14701698|13910698|1.05686|174072|1158|46
YaleLanguages_1|0|18012366|1520217|815218|1.8648|2358|215|16
