Relation|RowGroup|uncompressed|compressed|c3_compressed|compression_ratio_improvement|compute_ecr_counter|add_to_graph_counter|final_scheme_counter
Arade_1|0|4161998|1170624|1165949|1.00401|12|2|1
Bimbo_1|0|3670016|319324|270967|1.17846|132|15|4
CityMaxCapita_1|0|26049426|11018728|10796165|1.02062|380|89|6
CMSprovider_1|0|16717728|3729276|3403473|1.09573|342|134|11
CommonGovernment_1|0|62829650|8193179|7247618|1.13047|2070|431|22
Corporations_1|0|11901857|5105751|3074992|1.66041|240|145|10
Eixo_1|0|60077487|5892367|4765269|1.23652|4160|2052|33
Euro2016_1|0|11418716|5779460|5241795|1.10257|30|22|4
Food_1|0|2758131|515805|527059|0.978648|20|3|3
Generico_1|0|42738694|2805958|2136577|1.3133|1722|392|20
HashTags_1|0|92542033|34753667|34522708|1.00669|5402|873|15
Hatred_1|0|26027696|11533096|11377224|1.0137|342|63|7
IGlocations1_1|0|6321918|1779851|1773271|1.00371|56|4|1
Medicare1_1|0|12973420|3996314|3818183|1.04665|240|41|8
MedPayment1_1|0|16768400|4681724|4566412|1.02525|306|77|9
MLB_1|0|18994088|2380651|2342147|1.01644|2256|327|33
Motos_1|0|42974217|2829428|2155964|1.31237|1806|405|21
MulheresMil_1|0|62416953|5964864|4735662|1.25956|4290|2055|36
NYC_1|0|36490617|3139541|1730047|1.81471|1482|604|23
PanCreactomy1_1|0|18360922|4037727|3688748|1.09461|462|162|11
Physicians_1|0|16768116|4686462|4571766|1.02509|306|75|9
Provider_1|0|16202756|4588180|4503655|1.01877|306|53|6
RealEstate1_1|0|17820728|4838606|4517898|1.07099|420|94|8
Redfin1_1|0|22150976|9242876|9195437|1.00516|306|48|10
Rentabilidad_1|0|70851322|16198993|15424556|1.05021|6924|1152|27
Romance_1|0|21518242|9890137|9890401|0.999973|2|0|0
SalariesFrance_1|0|48707783|9310155|8560832|1.08753|992|176|19
TableroSistemaPenal_1|0|23289522|802109|377355|2.12561|702|121|11
Taxpayer_1|0|16195222|4592886|4528482|1.01422|306|67|9
Telco_1|0|92222061|23897338|23633567|1.01116|10932|1398|95
TrainsUK1_2|0|22067864|3440367|3089147|1.11369|552|83|14
TrainsUK2_1|0|18144855|3140981|2536756|1.23819|702|215|14
Uberlandia_1|0|61320125|5959002|4709105|1.26542|4290|2120|37
USCensus_1|0|137735464|8738400|8883680|0.983646|92702|8695|146
Wins_1|0|88869327|14701699|14429429|1.01887|34686|7023|171
YaleLanguages_1|0|18012366|1520217|838073|1.81394|650|320|15
