Relation|RowGroup|uncompressed|compressed|c3_compressed|compression_ratio_improvement|compute_ecr_counter|add_to_graph_counter|final_scheme_counter
Arade_1|0|4161998|1170624|1170865|0.999794|4|0|0
Bimbo_1|0|3670016|319324|319614|0.999093|92|0|0
CityMaxCapita_1|0|26049426|11018728|10917590|1.00926|204|4|1
CMSprovider_1|0|16717728|3729276|3656984|1.01977|202|4|3
CommonGovernment_1|0|62829650|8193179|8067883|1.01553|1208|17|5
Corporations_1|0|11901857|5105751|3271887|1.56049|144|80|5
Eixo_1|0|60077487|5892367|5634739|1.04572|2972|141|12
Euro2016_1|0|11418716|5779460|5255074|1.09979|20|8|2
Food_1|0|2758131|515805|518037|0.995691|8|2|1
Generico_1|0|42738694|2805958|2505436|1.11995|834|6|2
HashTags_1|0|92542033|34753667|33845980|1.02682|2572|13|5
Hatred_1|0|26027696|11533096|11522820|1.00089|154|3|2
IGlocations1_1|0|6321918|1779851|1780285|0.999756|212|0|0
Medicare1_1|0|12973420|3996314|3974786|1.00542|128|2|2
MedPayment1_1|0|16768400|4681724|4674156|1.00162|260|2|1
MLB_1|0|18994088|2380651|2328566|1.02237|968|39|7
Motos_1|0|42974217|2829428|2527106|1.11963|886|6|2
MulheresMil_1|0|62416953|5964864|5707264|1.04514|3080|141|12
NYC_1|0|36490617|3139541|2192303|1.43207|1130|106|6
PanCreactomy1_1|0|18360922|4037727|4005955|1.00793|292|4|2
Physicians_1|0|16768116|4686462|4678898|1.00162|260|2|1
Provider_1|0|16202756|4588180|4580614|1.00165|252|2|1
RealEstate1_1|0|17820728|4838606|4813106|1.0053|204|9|2
Redfin1_1|0|22150976|9242876|9079427|1.018|170|24|3
Rentabilidad_1|0|70851322|16198993|16138806|1.00373|2576|37|5
Romance_1|0|21518242|9890585|9890849|0.999973|4|0|0
SalariesFrance_1|0|48707783|9310155|9233395|1.00831|480|6|3
TableroSistemaPenal_1|0|23289522|802109|808049|0.992649|366|4|1
Taxpayer_1|0|16195222|4592886|4585317|1.00165|252|2|1
Telco_1|0|92222061|23897338|23001852|1.03893|15972|6761|62
TrainsUK1_2|0|22067864|3440367|3363204|1.02294|194|24|3
TrainsUK2_1|0|18144855|3140981|3058987|1.0268|272|15|5
Uberlandia_1|0|61320125|5959002|5670237|1.05093|2834|149|14
USCensus_1|0|137735464|8738400|8576059|1.01893|90386|748|26
Wins_1|0|88869327|14701699|14508848|1.01329|26304|240|26
YaleLanguages_1|0|18012366|1520217|1447106|1.05052|410|8|4
